
 OUTPUT FROM bailey_pset7_problem2.m 

 Finding Eigenvectors and Eigenvalues Using Shifted Power Method 
 Using x same as the initial guess vector. 
Iter.    x(1)      x(2)          x(3)          x(4)        x(n-3)      x(n-2)      x(n-1)        x(n)        lambda       check
119 -5.96861e-01 +3.76828e-01 +1.60210e-02 -3.35597e-02 -3.35597e-02 +1.60210e-02 +3.76828e-01 -5.96861e-01 +8.43775e-04 +2.57747e-04 
120 +5.96139e-01 -3.77987e-01 -1.49229e-02 +3.39458e-02 +3.39458e-02 -1.49229e-02 -3.77987e-01 +5.96139e-01 +8.42459e-04 +2.56308e-04 
121 -5.95420e-01 +3.79133e-01 +1.38247e-02 -3.43243e-02 -3.43243e-02 +1.38247e-02 +3.79133e-01 -5.95420e-01 +8.41157e-04 +2.54887e-04 
122 +5.94703e-01 -3.80268e-01 -1.27264e-02 +3.46952e-02 +3.46952e-02 -1.27264e-02 -3.80268e-01 +5.94703e-01 +8.39870e-04 +2.53484e-04 
123 -5.93989e-01 +3.81391e-01 +1.16283e-02 -3.50585e-02 -3.50585e-02 +1.16283e-02 +3.81391e-01 -5.93989e-01 +8.38597e-04 +2.52098e-04 
124 +5.93277e-01 -3.82503e-01 -1.05302e-02 +3.54143e-02 +3.54143e-02 -1.05302e-02 -3.82503e-01 +5.93277e-01 +8.37338e-04 +2.50729e-04 
125 -5.92568e-01 +3.83604e-01 +9.43241e-03 -3.57627e-02 -3.57627e-02 +9.43241e-03 +3.83604e-01 -5.92568e-01 +8.36093e-04 +2.49377e-04 
126 +5.91862e-01 -3.84693e-01 -8.33489e-03 +3.61037e-02 +3.61037e-02 -8.33489e-03 -3.84693e-01 +5.91862e-01 +8.34860e-04 +2.48041e-04 
127 -5.91158e-01 +3.85772e-01 +7.23774e-03 -3.64374e-02 -3.64374e-02 +7.23774e-03 +3.85772e-01 -5.91158e-01 +8.33641e-04 +2.46721e-04 
128 +5.90456e-01 -3.86840e-01 -6.14102e-03 +3.67639e-02 +3.67639e-02 -6.14102e-03 -3.86840e-01 +5.90456e-01 +8.32435e-04 +2.45417e-04 
129 -5.89757e-01 +3.87897e-01 +5.04481e-03 -3.70832e-02 -3.70832e-02 +5.04481e-03 +3.87897e-01 -5.89757e-01 +8.31242e-04 +2.44128e-04 
130 +5.89060e-01 -3.88943e-01 -3.94918e-03 +3.73953e-02 +3.73953e-02 -3.94918e-03 -3.88943e-01 +5.89060e-01 +8.30061e-04 +2.42855e-04 
131 -5.88366e-01 +3.89980e-01 +2.85417e-03 -3.77003e-02 -3.77003e-02 +2.85417e-03 +3.89980e-01 -5.88366e-01 +8.28893e-04 +2.41596e-04 
132 +5.87675e-01 -3.91006e-01 -1.75987e-03 +3.79983e-02 +3.79983e-02 -1.75987e-03 -3.91006e-01 +5.87675e-01 +8.27736e-04 +2.40352e-04 
133 -5.86985e-01 +3.92021e-01 +6.66334e-04 -3.82894e-02 -3.82894e-02 +6.66334e-04 +3.92021e-01 -5.86985e-01 +8.26592e-04 +2.39123e-04 
